song,performer,track_duration_s,danceability,valence,date,rank,peak_rank,weeks_on_board,key_sign,energy,loudness,speechiness,acousticness,instrumentalness,liveness
Into The Unknown,Idina Menzel & AURORA,194.848,0.323,0.274,20200404,97,46,11,A# minor,0.828,-6.225,0.077,0.0244,0.0,0.21
Into You,Ariana Grande,179.231,0.623,0.372,20200827,13,13,13,A major,0.734,-5.95,0.107,0.0162,1.9e-06,0.145
Into You,Ariana Grande,179.231,0.623,0.372,20200827,13,13,13,A major,0.538,-7.886,0.0523,0.233,0.0,0.118
Into Your Arms,The Lemonheads,164.706,0.504,0.619,20191120,89,89,2,D major,0.782,-9.27,0.0301,0.0661,1.31e-06,0.115
INTRO,DaBaby,172.8,0.862,0.672,20201005,17,17,1,C minor,0.685,-7.699,0.242,0.0342,0.0,0.204
Intro,J. Cole,190.176,0.678,0.635,20200505,53,53,1,D major,0.648,-5.892,0.445,0.147,0.0,0.182
Intro,J. Cole,190.176,0.678,0.635,20200505,53,53,1,D major,0.76,-5.546,0.221,0.0557,0.0,0.359
Introducing Me,Nick Jonas,186.893,0.513,0.676,20200925,92,92,1,B major,0.496,-6.049,0.0511,0.46,0.0,0.106
Intuition,Jewel,228.893,0.718,0.816,20200621,27,27,7,G major,0.798,-4.309,0.0584,0.00447,0.00629,0.064
Inventing Shadows,Dia Frampton,213.04,0.597,0.325,20200716,20,20,1,B major,0.786,-6.233,0.04,0.0116,0.000276,0.128
Invisible String,Taylor Swift,252.88,0.653,0.45,20200808,37,37,1,E minor,0.452,-11.143,0.055,0.838,7.73e-05,0.108
Invisible Touch,Genesis,209.586,0.659,0.843,20190823,33,1,13,C major,0.878,-5.987,0.0298,0.339,0.000543,0.0731
Invisible,Alison Moyet,238.04,0.652,0.72,20190504,39,39,9,D major,0.605,-11.14,0.025,0.124,1.31e-05,0.152
Invisible,Alison Moyet,238.04,0.652,0.72,20190504,39,39,9,D major,0.835,-2.784,0.0557,0.167,0.0,0.0843
Invisible,Alison Moyet,238.04,0.652,0.72,20190504,39,39,9,D major,0.777,-5.516,0.037,0.152,0.0,0.35
Invisible,Alison Moyet,238.04,0.652,0.72,20190504,39,39,9,D major,0.568,-5.713,0.0436,0.327,0.0,0.0822
Invitation To Dance,Kim Carnes,219.346,0.823,0.963,20190209,68,68,4,C major,0.931,-5.191,0.0306,0.225,3.18e-06,0.301
Invitation To The Blues,Ray Price,168.106,0.507,0.814,20190908,92,92,1,D# major,0.358,-12.085,0.0324,0.788,2.5e-05,0.0673
iPHONE,DaBaby & Nicki Minaj,191.92,0.733,0.305,20201012,43,43,1,C# minor,0.574,-6.409,0.266,0.243,0.0,0.231
Iridescent,Linkin Park,296.56,0.484,0.216,20200723,81,81,3,C major,0.727,-6.107,0.0358,0.198,0.00204,0.107
Iris,Goo Goo Dolls,289.533,0.315,0.497,20190213,36,9,11,B minor,0.715,-8.072,0.0362,0.00125,7.97e-06,0.0942
Iris,Goo Goo Dolls,289.533,0.315,0.497,20190213,36,9,11,B minor,0.651,-6.216,0.0316,0.00725,0.0,0.1
Iron Man,Black Sabbath,355.303,0.336,0.425,20190212,64,64,3,A major,0.792,-10.875,0.0848,0.00349,0.00178,0.0437
Ironic,Alanis Morissette,225.933,0.295,0.37,20190803,24,4,21,B major,0.593,-7.572,0.0555,0.25,0.0,0.236
Irreplaceable,Beyonce,227.853,0.511,0.764,20200217,1,1,16,A major,0.502,-15.55,0.041,0.000815,0.869,0.197
Irresistible You,Bobby Darin,154.826,0.661,0.967,20190217,17,15,10,A# major,0.643,-7.201,0.0577,0.64,1.04e-06,0.04
Irresistible,Cathy Dennis,228.6,0.705,0.961,20190102,91,91,2,C major,0.73,-10.053,0.0261,0.0602,0.00396,0.0437
Irresistible,Cathy Dennis,228.6,0.705,0.961,20190102,91,91,2,C major,0.938,-3.114,0.105,0.0633,0.0,0.248
Irresistible,Cathy Dennis,228.6,0.705,0.961,20190102,91,91,2,C major,0.966,-2.783,0.0538,0.0279,8.25e-05,0.0489
Is Anybody Goin' To San Antone,Charley Pride,133.88,0.718,0.856,20190321,94,94,2,D major,0.399,-11.592,0.034,0.724,0.0,0.156
Is Anybody Out There?,K'Naan Featuring Nelly Furtado,238.746,0.641,0.42,20200428,92,92,2,C major,0.87,-3.953,0.175,0.0248,0.0,0.291
Is It Any Wonder?,Keane,186.173,0.495,0.772,20200729,84,78,4,B minor,0.945,-2.789,0.0376,5.4e-05,8.82e-05,0.296
Is It Because I'm Black,Syl Johnson,454.853,0.755,0.883,20191213,94,94,1,G# minor,0.528,-8.946,0.072,0.33,0.0,0.142
Is It Good To You,Heavy D & The Boyz,292.226,0.711,0.836,20190208,34,32,12,C# major,0.595,-12.99,0.036,0.0484,0.0327,0.208
Is It Love That We're Missin',Quincy Jones (feat. The Brothers Johnson),232.253,0.724,0.833,20191101,77,77,4,B major,0.828,-6.898,0.052,0.576,0.000595,0.131
Is It Love,J.J. Fad,183.04,0.747,0.781,20191224,92,92,3,D# minor,0.251,-16.9,0.147,0.00249,0.098,0.063
Is It Love,J.J. Fad,183.04,0.747,0.781,20191224,92,92,3,D# minor,0.825,-11.418,0.0412,0.0398,0.000173,0.415
Is It Me?,Barbara Mason,185.6,0.499,0.876,20190212,99,97,2,F# major,0.386,-7.761,0.0433,0.477,0.0,0.103
Is It Really Over?,Jim Reeves,134.64,0.275,0.221,20190821,85,85,2,A# major,0.241,-14.526,0.0293,0.805,0.0124,0.135
Is It Something You've Got,Tyrone Davis,158.893,0.6,0.936,20190405,53,53,3,B major,0.739,-6.845,0.0653,0.173,0.0,0.155
Is It True,Brenda Lee,149.426,0.721,0.81,20191128,17,17,7,A major,0.782,-10.37,0.0358,0.411,9.36e-06,0.265
Is It Wrong (For Loving You),Webb Pierce,124.466,0.644,0.699,20190516,79,69,3,A major,0.432,-10.946,0.0343,0.618,6.8e-05,0.187
Is It You,Lee Ritenour,269.653,0.715,0.818,20190620,17,17,9,A# major,0.384,-16.362,0.0457,0.584,0.00758,0.285
Is She Really Going Out With Him?,Joe Jackson,215.066,0.859,0.913,20190714,35,35,6,D# major,0.317,-6.788,0.0498,0.0336,7.44e-06,0.224
Is That All There Is,Peggy Lee,262.0,0.458,0.386,20191101,13,13,6,A# major,0.0899,-18.824,0.0362,0.863,0.0,0.137
Is That Alright?,Lady Gaga,191.28,0.557,0.263,20201020,63,63,1,F# major,0.279,-7.757,0.0372,0.868,1.25e-05,0.0978
Is That It?,Katrina And The Waves,221.733,0.578,0.763,20190503,72,72,5,C major,0.626,-13.818,0.0391,0.00797,0.00905,0.471
Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,294.04,0.841,0.702,20201230,71,71,3,G# minor,0.835,-6.191,0.308,0.263,0.0,0.108
Is There Any Chance,Marty Robbins,129.866,0.352,0.475,20190815,36,31,9,C major,0.325,-10.117,0.0295,0.61,0.0,0.269
Is There More,Drake,226.906,0.698,0.548,20200714,36,36,1,C# major,0.547,-7.607,0.315,0.727,0.0,0.159
Is There Something I Should Know,Duran Duran,249.666,0.57,0.776,20190917,66,4,16,G major,0.967,-4.956,0.076,0.0218,6.44e-06,0.285
Is There Something On Your Mind,Jack Scott,164.533,0.536,0.382,20190109,89,89,1,A major,0.0599,-18.355,0.0298,0.84,0.0,0.0846
Is This Love,Pat Travers Band,328.466,0.665,0.576,20190531,66,66,3,C# major,0.396,-13.893,0.101,0.0319,0.0,0.0862
Is This Love,Pat Travers Band,328.466,0.665,0.576,20190531,66,66,3,C# major,0.772,-8.946,0.0328,0.557,0.0,0.0338
Is This Love,Pat Travers Band,328.466,0.665,0.576,20190531,66,66,3,C# major,0.759,-7.288,0.0431,0.0555,0.0,0.231
Is This The End,New Edition,251.4,0.674,0.389,20191029,85,85,3,F major,0.28,-15.777,0.0282,0.482,3.51e-06,0.0751
Is This What I Get For Loving You?,The Ronettes Featuring Veronica,201.28,0.433,0.469,20190529,88,88,1,E major,0.462,-10.192,0.0269,0.559,5.28e-05,0.239
Is You Is Or Is You Ain't My Baby,Buster Brown,142.306,0.328,0.396,20191003,81,81,3,G minor,0.753,-7.577,0.0759,0.931,0.438,0.317
Isis,Joyner Lucas Featuring Logic,236.0,0.918,0.855,20200608,59,59,1,C# major,0.837,-6.792,0.255,0.234,0.0,0.227
Island Girl,Elton John,222.093,0.703,0.47,20191018,36,36,2,A# major,0.889,-8.44,0.0661,0.113,2.98e-06,0.18
Island In The Sky,Troy Shondell,145.066,0.238,0.256,20190113,92,92,1,F major,0.384,-9.506,0.0296,0.937,0.0,0.0721
Island Of Lost Souls,Blondie,230.12,0.599,0.835,20190703,37,37,6,D major,0.632,-8.77,0.0432,0.181,0.00187,0.638
Isn't It Amazing,The Crests featuring Johnny Mastro,136.946,0.531,0.796,20191024,100,100,1,G major,0.5,-5.49,0.0328,0.896,0.0,0.33
Isn't It Lonely Together,O.C. Smith,202.306,0.319,0.466,20191221,76,76,2,G major,0.471,-14.427,0.0544,0.55,2.47e-06,0.0805
Isn't It Time,The Babys,243.92,0.523,0.313,20191231,13,13,13,C major,0.93,-6.994,0.104,0.389,0.000134,0.815
Isn't Life Strange,The Moody Blues,368.56,0.107,0.194,20190513,39,39,4,C major,0.2,-17.842,0.0381,0.558,0.00252,0.0802
Isn't She Lovely,Glee Cast,98.666,0.472,0.807,20200528,65,65,1,G major,0.409,-6.561,0.0678,0.665,0.0,0.067
iSpy,KYLE Featuring Lil Yachty,253.106,0.746,0.672,20200506,6,4,17,G major,0.653,-6.745,0.289,0.378,0.0,0.229
Issues,Julia Michaels,176.32,0.728,0.455,20200610,11,11,18,G# major,0.415,-6.852,0.0639,0.401,0.0,0.0616
Issues,Julia Michaels,176.32,0.728,0.455,20200610,11,11,18,G# major,0.608,-5.885,0.245,0.167,0.0,0.0871
It'll Never Be Over For Me,Baby Washington,188.066,0.663,0.856,20191212,98,98,2,E major,0.363,-12.069,0.0385,0.27,2.47e-05,0.257
It's A Beautiful Day,Michael Buble,199.266,0.532,0.78,20200316,94,94,1,C# major,0.795,-3.979,0.0358,0.0559,0.0,0.295
It's A Business Doing Pleasure With You,Tim McGraw,185.973,0.643,0.569,20200829,59,59,3,A major,0.913,-2.949,0.0347,0.0794,0.0,0.102
It's A Crazy World,Mac McAnally,198.479,0.519,0.51,20190709,83,83,1,C major,0.202,-17.208,0.037,0.929,0.00151,0.105
It's A Disco Night (Rock Don't Stop),The Isley Brothers,315.88,0.803,0.972,20191020,93,93,1,B minor,0.909,-6.039,0.0489,0.366,0.00901,0.0831
It's A Great Day To Be Alive,Travis Tritt,241.533,0.595,0.542,20200505,33,33,10,G major,0.653,-4.935,0.0265,0.246,0.0,0.264
It's A Happening Thing,The Peanut Butter Conspiracy,143.48,0.331,0.779,20190318,93,93,2,B minor,0.852,-7.008,0.0572,0.257,0.0,0.249
It's A Happening World,The Tokens,158.373,0.65,0.782,20190729,70,70,2,D major,0.597,-8.768,0.0603,0.37,0.0,0.119
It's A Hard Life,Queen,246.973,0.436,0.278,20190818,95,72,4,D# major,0.614,-6.095,0.0299,0.439,0.0,0.258
It's A Heartache,Bonnie Tyler,212.0,0.555,0.553,20190513,22,22,8,C major,0.487,-11.766,0.0317,0.13,0.000868,0.169
It's A Heartache,Bonnie Tyler,212.0,0.555,0.553,20190513,22,22,8,C major,0.494,-12.615,0.0453,0.0432,0.000214,0.0802
It's A Laugh,Daryl Hall John Oates,224.36,0.528,0.864,20191021,23,23,9,D major,0.657,-8.762,0.0257,0.00156,0.0,0.131
It's A Long Way There,Little River Band,520.88,0.395,0.296,20191120,36,36,10,F major,0.654,-9.936,0.038,0.0327,6.31e-05,0.134
It's A Love Thing,The Whispers,311.04,0.767,0.932,20190314,49,49,5,F minor,0.693,-8.089,0.113,0.0723,0.000108,0.302
"It's A Mad, Mad, Mad, Mad World",The Shirelles,217.4,0.467,0.645,20191019,96,96,1,G major,0.209,-11.736,0.0347,0.573,0.0,0.662
It's A Man's Man's Man's World,James Brown And The Famous Flames,167.373,0.537,0.535,20190618,18,8,8,D# minor,0.243,-16.542,0.0459,0.709,0.000193,0.111
"It's A Man's, Man's Man's World",Glee Cast,176.413,0.645,0.534,20200619,95,95,1,D# minor,0.375,-6.138,0.0279,0.729,2.16e-05,0.102
It's A Man Down There,G.L. Crockett,166.293,0.521,0.875,20190814,78,78,2,E major,0.577,-7.71,0.0364,0.8,0.0,0.12
It's A Miracle,Barry Manilow,231.493,0.761,0.952,20190322,42,42,4,G# major,0.856,-7.89,0.0491,0.182,0.00233,0.0943
It's A Miracle,Barry Manilow,231.493,0.761,0.952,20190322,42,42,4,G# major,0.733,-8.178,0.0385,0.0682,0.0,0.0891
It's A Mistake,Men At Work,286.973,0.7,0.937,20190723,20,20,4,B major,0.618,-4.593,0.0261,0.232,2.65e-05,0.072
It's A New Day (Part 1) & (Part 2),James Brown,354.346,0.856,0.965,20190404,38,32,8,A# major,0.857,-3.413,0.186,0.653,7.8e-06,0.166
It's A New Day,will.i.am,219.786,0.795,0.467,20200207,84,78,2,G major,0.639,-4.318,0.049,0.122,0.0,0.23
It's A Night For Beautiful Girls,The Fools,233.6,0.757,0.819,20190510,92,67,4,A minor,0.799,-6.288,0.0306,0.122,0.00151,0.298
It's A Party,Busta Rhymes Featuring Zhane,277.44,0.665,0.786,20190727,53,53,3,F minor,0.657,-8.805,0.274,0.0823,0.0,0.176
It's A Shame (My Sister),Monie Love Featuring True Image,222.84,0.858,0.478,20190427,32,32,7,C# major,0.609,-10.695,0.113,0.0542,9.04e-05,0.315
It's A Shame,The Spinners,190.058,0.372,0.705,20190919,25,25,9,B major,0.642,-11.955,0.0594,0.0947,0.0,0.117
It's A Sin To Tell A Lie,Tony Bennett,138.08,0.614,0.524,20190711,99,99,1,C major,0.271,-11.586,0.0342,0.794,1.45e-06,0.0772
It's A Sin,Pet Shop Boys,299.306,0.538,0.291,20190102,94,9,18,C minor,0.86,-5.916,0.0435,0.252,0.000527,0.247
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",210.2,0.822,0.523,20200708,58,58,2,G major,0.505,-7.384,0.147,0.0317,0.000911,0.114
It's All About Me,Mya & Sisqo,264.933,0.808,0.499,20190516,6,6,10,D major,0.504,-7.281,0.0805,0.232,0.0,0.171
It's All About U,SWV,224.8,0.838,0.74,20190405,92,61,12,C major,0.401,-9.808,0.0506,0.111,0.00811,0.0478
It's All About You (Not About Me),Tracie Spencer,254.573,0.752,0.594,20190904,19,18,4,A# minor,0.587,-6.293,0.0348,0.136,5.26e-06,0.0772
It's All Been Done,Barenaked Ladies,206.0,0.521,0.746,20190123,51,51,5,D major,0.919,-3.146,0.0475,0.000173,0.00218,0.301
It's All Coming Back To Me Now,Celine Dion,456.866,0.384,0.286,20190914,7,7,5,C major,0.438,-9.149,0.0361,0.753,0.0,0.101
It's All I Can Do,Anne Murray,172.96,0.455,0.21,20191114,88,53,8,C# minor,0.336,-12.321,0.0275,0.198,0.0,0.134
It's All I Can Do,Anne Murray,172.96,0.455,0.21,20191114,88,53,8,C# minor,0.701,-9.719,0.0274,0.0386,0.00106,0.211
It's All In The Game,Cliff Richard,192.893,0.429,0.485,20190222,33,25,12,D major,0.208,-16.07,0.0301,0.891,4.67e-05,0.158
It's All In The Game,Cliff Richard,192.893,0.429,0.485,20190222,33,25,12,D major,0.392,-12.812,0.0265,0.315,0.00173,0.0743
It's All In The Game,Cliff Richard,192.893,0.429,0.485,20190222,33,25,12,D major,0.276,-13.527,0.0295,0.038,0.0,0.309
It's All In Your Mind,Clarence Carter,158.733,0.553,0.763,20191212,51,51,6,C major,0.328,-15.607,0.109,0.37,0.0,0.0615
It's All Over,Ben E. King,197.04,0.518,0.662,20190926,74,74,3,F major,0.43,-11.943,0.0283,0.355,2.38e-05,0.199
It's All Over,Ben E. King,197.04,0.518,0.662,20190926,74,74,3,F major,0.484,-11.557,0.045,0.742,0.00018,0.182
It's All Over,Ben E. King,197.04,0.518,0.662,20190926,74,74,3,F major,0.558,-9.614,0.0413,0.642,0.0,0.569
It's All Right (You're Just In Love),The Tams,131.039,0.712,0.938,20190404,87,87,1,C major,0.411,-14.455,0.0512,0.216,6.54e-06,0.699
It's All Up To You,The Dells,242.88,0.491,0.724,20190311,94,94,3,G major,0.513,-12.65,0.0421,0.105,0.0,0.113
It's Almost Tomorrow,Jimmy Velvet,168.88,0.322,0.293,20190605,94,94,2,A major,0.322,-11.224,0.0282,0.91,1.71e-05,0.177
"It's Alright, It's OK",Ashley Tisdale,179.2,0.528,0.267,20200502,99,99,1,C# minor,0.923,-1.884,0.058,0.00536,1.46e-05,0.134
"It's Alright, It's Ok",Leah Andreone,265.133,0.734,0.656,20190524,83,57,18,C minor,0.67,-5.838,0.0321,0.0113,1.25e-06,0.224
It's Always Somethin',Joe Diffie,178.533,0.61,0.566,20201111,99,57,13,A major,0.83,-4.772,0.0343,0.0452,0.000211,0.163
It's America,Rodney Atkins,216.613,0.604,0.689,20200328,53,52,4,F major,0.908,-2.139,0.0324,0.0777,0.0,0.148
It's An Uphill Climb To The Bottom,Walter Jackson,168.96,0.44,0.681,20190604,98,98,1,C# major,0.445,-10.313,0.0285,0.705,1.27e-06,0.393
It's Been A Long Long Time,The Elgins,177.053,0.339,0.606,20190729,92,92,1,C major,0.582,-4.395,0.0267,0.617,0.0,0.162
It's Been Awhile,Staind,264.706,0.509,0.0824,20200804,13,13,17,F# major,0.774,-4.054,0.0338,0.00189,0.000549,0.143
It's Beginning To Look A Lot Like Christmas,Michael Buble,206.639,0.35,0.381,20201217,96,96,1,E major,0.232,-11.042,0.0331,0.907,9.21e-06,0.292
It's Beginning To Look A Lot Like Christmas,Michael Buble,206.639,0.35,0.381,20201217,96,96,1,E major,0.276,-12.25,0.0599,0.76,0.0,0.116
It's Beginning To Look A Lot Like Christmas,Michael Buble,206.639,0.35,0.381,20201217,96,96,1,E major,0.276,-12.25,0.0599,0.76,0.0,0.116
It's Beginning To Look A Lot Like Christmas,Michael Buble,206.639,0.35,0.381,20201217,96,96,1,E major,0.276,-12.25,0.0599,0.76,0.0,0.116
It's Better To Have (and Don't Need),Don Covay,190.693,0.739,0.821,20190817,92,63,6,D major,0.68,-12.269,0.116,0.163,1.2e-05,0.231
It's Better To Have It,Barbara Lynn,172.2,0.43,0.837,20190116,95,95,2,D major,0.526,-6.195,0.0318,0.618,0.0648,0.438
It's Cold Outside,The Choir,166.813,0.311,0.774,20190603,89,89,1,A major,0.801,-7.992,0.0437,0.000662,0.000126,0.152
It's Cool,The Tymes,219.933,0.688,0.745,20190508,86,86,1,G# minor,0.575,-12.591,0.0655,0.681,2.18e-06,0.281
It's Crazy,Eddie Harris,189.226,0.464,0.8,20191026,88,88,1,C# major,0.568,-10.704,0.0592,0.611,0.51,0.349
It's Ecstasy When You Lay Down Next To Me,Barry White,417.6,0.882,0.794,20190114,100,4,22,G major,0.399,-10.147,0.0386,0.0155,0.238,0.0427
It's Everyday Bro,Jake Paul Featuring Team 10,217.678,0.79,0.559,20201216,91,91,2,C# minor,0.714,-7.86,0.202,0.00142,0.0,0.111
It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,230.133,0.713,0.88,20200628,75,75,1,D major,0.772,-6.69,0.0372,0.208,0.0,0.211
It's For You,Cilla Black,149.6,0.382,0.667,20190919,84,84,1,C minor,0.461,-8.961,0.0592,0.78,0.0,0.346
It's For You,Cilla Black,149.6,0.382,0.667,20190919,84,84,1,C minor,0.495,-8.28,0.0317,0.134,2.31e-06,0.563
It's Forever,The Ebonys,437.706,0.518,0.461,20190728,70,70,4,D major,0.493,-9.534,0.0293,0.778,0.00287,0.216
It's Four In The Morning,Faron Young,164.234,0.462,0.388,20190219,92,92,2,A major,0.277,-11.399,0.0315,0.749,7.56e-06,0.409
It's Getting Better All The Time,Brooks & Dunn,254.706,0.459,0.153,20200430,56,56,12,E major,0.398,-7.993,0.0266,0.812,0.000149,0.0851
It's Going To Take Some Time,Carpenters,176.053,0.591,0.314,20190520,29,29,4,C major,0.148,-16.694,0.0337,0.947,0.141,0.111
It's Gonna Be Alright,Gerry And The Pacemakers,145.64,0.427,0.881,20190508,23,23,5,A major,0.822,-6.199,0.0416,0.0933,0.0,0.104
It's Gonna Be Alright,Gerry And The Pacemakers,145.64,0.427,0.881,20190508,23,23,5,A major,0.386,-10.353,0.0414,0.521,8.28e-06,0.146
It's Gonna Be Fine,Glenn Yarbrough,131.76,0.442,0.666,20190717,94,94,1,A major,0.563,-10.888,0.0332,0.481,0.0,0.114
It's Gonna Be Special,Patti Austin,259.013,0.713,0.733,20190303,92,82,4,F# minor,0.834,-5.835,0.0672,0.433,0.0,0.841
It's Gonna Take A Miracle,Deniece Williams,249.64,0.567,0.665,20190605,12,12,10,G major,0.458,-12.049,0.0257,0.85,0.000627,0.351
It's Gonna Work Out Fine,Ike & Tina Turner,182.293,0.701,0.938,20191023,47,14,13,C major,0.496,-12.57,0.128,0.857,0.00298,0.0439
It's Good News Week,Hedgehoppers Anonymous,126.827,0.51,0.965,20190108,50,50,6,E major,0.588,-10.54,0.0392,0.124,0.0,0.0584
It's Good To Be King,Tom Petty,310.933,0.523,0.446,20190610,76,68,7,D major,0.622,-6.632,0.0245,0.0143,0.0065,0.297
It's Good To Be Us,Bucky Covington,184.586,0.497,0.604,20200419,81,81,7,E major,0.89,-3.201,0.0333,0.002,0.0,0.182
It's Good,Lil Wayne Featuring Drake & Jadakiss,241.466,0.666,0.1,20200917,79,79,1,G# major,0.715,-7.292,0.156,0.0244,0.0,0.119
It's Got The Whole World Shakin',Sam Cooke,165.52,0.449,0.475,20190424,49,49,3,D major,0.658,-7.325,0.0296,0.267,0.0,0.155
It's Got To Be Mellow,Leon Haywood,143.64,0.611,0.888,20191021,63,63,10,F minor,0.529,-8.749,0.0316,0.349,0.0,0.0697
It's Growing,The Temptations,179.573,0.233,0.79,20190501,20,20,5,F major,0.525,-11.233,0.0469,0.656,7.75e-06,0.182
It's Hard To Be Humble,Mac Davis,256.72,0.375,0.584,20190503,43,43,7,D major,0.473,-14.177,0.0587,0.252,0.0,0.281
It's Hard To Get Along,Joe Simon,177.093,0.567,0.761,20191025,90,90,2,C# major,0.556,-11.985,0.0466,0.124,0.0,0.397
It's Hard To Stop (Doing Something When It's Good To You),Betty Wright,190.306,0.695,0.932,20190519,72,72,5,A# major,0.625,-10.258,0.0319,0.731,0.177,0.101
It's Her Turn To Live,Smokey Robinson,197.413,0.815,0.969,20190608,90,90,3,C major,0.816,-6.047,0.0375,0.213,0.0,0.393
It's Impossible,Perry Como,193.8,0.276,0.361,20191128,62,62,3,F minor,0.254,-17.086,0.0329,0.345,0.164,0.45
It's Impossible,Perry Como,193.8,0.276,0.361,20191128,62,62,3,F minor,0.375,-13.586,0.0291,0.556,0.0,0.22
It's In Your Eyes,Phil Collins,184.6,0.7,0.651,20190301,85,79,3,F major,0.785,-5.367,0.0262,0.0452,5.13e-05,0.197
It's Inevitable,Charlie,234.11,0.663,0.708,20190820,53,38,9,D major,0.7,-10.566,0.0419,0.00954,0.0,0.0888
It's Just A House Without You,Brook Benton,141.613,0.432,0.608,20191009,60,60,2,G major,0.218,-18.305,0.0677,0.989,0.766,0.267
It's Just A Little Bit Too Late,Wayne Fontana & The Mindbenders,140.826,0.732,0.83,20190717,46,46,6,A major,0.884,-5.7,0.0464,0.0671,0.0,0.0545
It's Just A Matter Of Time,Brook Benton,145.066,0.57,0.471,20190323,4,4,9,D# major,0.273,-13.659,0.0332,0.858,0.151,0.17
It's Just A Matter Of Time,Brook Benton,145.066,0.57,0.471,20190323,4,4,9,D# major,0.278,-15.812,0.0273,0.737,1.61e-05,0.242
It's Just The Sun,Don McLean,152.16,0.589,0.788,20190808,85,85,1,C major,0.426,-10.802,0.0273,0.427,1.15e-05,0.327
It's Late,Queen,386.36,0.29,0.508,20190610,99,74,5,A major,0.712,-5.181,0.0644,0.196,2.77e-06,0.0819
It's Late,Queen,386.36,0.29,0.508,20190610,99,74,5,A major,0.789,-8.12,0.0559,0.787,0.0,0.0938
It's Like That,Mariah Carey,203.36,0.8,0.836,20200212,24,24,3,G# minor,0.633,-4.875,0.0514,0.0901,0.0,0.0315
It's Like We Never Said Goodbye,Crystal Gayle,211.826,0.719,0.648,20190223,86,86,1,B major,0.626,-6.517,0.0293,0.604,0.0,0.147
It's Magic,The Platters,137.933,0.761,0.879,20190217,94,94,1,G minor,0.372,-11.525,0.0643,0.806,0.0,0.268
It's Me Snitches,Swizz Beatz,154.226,0.785,0.145,20200505,83,83,2,A major,0.95,-5.136,0.267,0.132,0.000229,0.362
It's Money That Matters,Randy Newman,247.8,0.725,0.757,20190107,77,60,10,D major,0.576,-13.247,0.0298,0.0485,0.00406,0.066
It's My Cadillac (Got That Bass),MC Nas-D & DJ Fred,234.64,0.881,0.538,20190926,100,96,2,F# major,0.724,-10.455,0.084,0.000471,0.000292,0.109
It's My Job,Jimmy Buffett,192.906,0.63,0.469,20190221,87,87,1,F major,0.335,-14.372,0.0361,0.527,0.0,0.127
It's My Life / Confessions Part II,Glee Cast,111.333,0.586,0.706,20201031,71,30,2,B minor,0.882,-3.794,0.0487,0.0385,0.0,0.32
It's My Life,Bon Jovi,224.493,0.537,0.571,20201111,44,33,14,C minor,0.903,-3.997,0.0505,0.0338,1.53e-05,0.341
It's My Life,Bon Jovi,224.493,0.537,0.571,20201111,44,33,14,C minor,0.933,-7.703,0.0536,0.00332,0.0365,0.0983
It's My Life,Bon Jovi,224.493,0.537,0.571,20201111,44,33,14,C minor,0.762,-4.431,0.0302,0.00368,0.00117,0.325
It's My Life,Bon Jovi,224.493,0.537,0.571,20201111,44,33,14,C minor,0.802,-8.432,0.0348,0.197,0.784,0.404
It's My Life,Bon Jovi,224.493,0.537,0.571,20201111,44,33,14,C minor,0.704,-4.798,0.0344,0.000403,0.000104,0.0993
It's My Thing (You Can't Tell Me Who To Sock It To),Marva Whitney,237.773,0.774,0.852,20190621,93,93,2,D minor,0.517,-11.943,0.0584,0.208,0.00505,0.0754
It's My Turn,Diana Ross,236.026,0.355,0.357,20191122,31,31,5,G# major,0.445,-10.221,0.028,0.401,0.0,0.244
It's Never Too Late,Steppenwolf,242.973,0.451,0.54,20190517,63,63,2,A major,0.653,-14.27,0.0433,0.493,0.000253,0.573
It's Nice To Be With You,The Monkees,172.853,0.538,0.485,20190727,51,51,7,D major,0.459,-8.992,0.0268,0.535,0.000868,0.149
It's No Crime,Babyface,241.493,0.802,0.912,20191209,98,7,18,D major,0.802,-6.709,0.0513,0.0608,0.000252,0.0727
It's No Good,Depeche Mode,358.52,0.601,0.185,20190607,38,38,4,A# minor,0.756,-6.48,0.0348,0.00866,0.0413,0.0821
It's No Secret,Kylie Minogue,238.0,0.66,0.844,20190225,64,37,12,F major,0.894,-4.342,0.0385,0.376,0.047,0.131
It's Not A Love Thing,Geoffrey Williams,305.533,0.694,0.726,20190411,84,84,4,F minor,0.671,-11.576,0.0303,0.143,1.62e-05,0.192
It's Not A Wonder,Little River Band,236.2,0.744,0.964,20190524,54,54,4,G major,0.756,-7.429,0.0304,0.0819,0.00695,0.102
It's Not Enough,Starship,290.186,0.551,0.874,20191118,90,12,16,F minor,0.891,-5.846,0.0263,0.0408,0.000114,0.0819
It's Not My Time,3 Doors Down,241.96,0.532,0.309,20200726,24,17,21,C major,0.935,-4.798,0.0619,0.00133,8.37e-06,0.106
It's Not Over ('til It's Over),Starship,257.333,0.602,0.58,20190905,14,9,11,F# major,0.839,-6.452,0.101,0.00541,1.85e-06,0.151
It's Not Over,Daughtry,215.026,0.428,0.294,20200106,38,38,5,A# minor,0.919,-3.245,0.0618,0.0503,0.0,0.245
